0 ,0
1.25728 ,20
1.25728 ,40
2.230848 ,60
3.409024 ,80
3.48384 ,100
4.332608 ,120
4.681536 ,140
5.419776 ,160
6.163392 ,180
7.160768 ,200
7.432384 ,220
8.427264 ,240
8.523264 ,260
9.107904 ,280
11.76832 ,300
13.019904 ,320
14.026624 ,340
14.590592 ,360
14.76128 ,380
16.0736 ,400
16.13344 ,420
17.634048 ,440
19.07648 ,460
19.467904 ,480
20.189504 ,500
21.375808 ,520
21.533312 ,540
22.263488 ,560
23.905472 ,580
24.224384 ,600
25.871168 ,620
25.895168 ,640
26.515008 ,660
27.91136 ,680
28.69664 ,700
29.3552 ,720
31.148736 ,740
32.116224 ,760
32.609152 ,780
32.613824 ,800
32.949696 ,820
34.48576 ,840
34.722368 ,860
34.77216 ,880
34.914944 ,900
35.6976 ,920
36.011968 ,940
37.079616 ,960
41.075584 ,980
41.08704 ,1000
41.544256 ,1020
41.820672 ,1040
41.85152 ,1060
41.931648 ,1080
41.93248 ,1100
43.968256 ,1120
45.490752 ,1140
45.51552 ,1160
45.754368 ,1180
46.191808 ,1200
47.018304 ,1220
47.036672 ,1240
47.366144 ,1260
47.743168 ,1280
47.748928 ,1300
48.123392 ,1320
48.135488 ,1340
51.172416 ,1360
51.260096 ,1380
51.24896 ,1400
51.249152 ,1420
51.384832 ,1440
51.462528 ,1460
52.748224 ,1480
